24#20130901002714
V1,V2,V3,A1,A2,A3,ActivePower,ReactivePower,Frequency,GRSpd,RotorRSpd,OnesecWsp,OnesecWdir,angle1,angle2,angle3,pitSet,ConvTorque,TorqueSet,DIO
391,392,390,41,41,49,44,-2,5000,1038,99,32,3,0,0,3,0,505,639,14847
391,391,390,41,41,49,44,-2,5000,1038,99,32,1,0,0,3,0,517,649,14847
391,392,389,41,41,48,44,-2,5000,1040,100,32,359,0,0,3,0,505,656,14847
391,391,390,40,41,48,44,-2,5000,1040,100,32,356,0,0,4,0,492,646,14847
391,392,389,40,40,48,43,-2,5000,1038,99,32,354,0,0,4,0,505,630,14847
391,392,389,40,40,48,43,-2,5000,1038,99,32,353,0,0,4,0,492,631,14847
391,392,389,40,41,48,43,-2,5000,1041,99,32,353,0,0,4,0,492,664,14847
391,392,389,40,40,48,43,-2,5000,1038,99,32,355,0,0,4,0,505,637,14847
391,391,389,40,41,48,43,-2,5000,1039,99,32,358,0,0,4,0,492,638,14847
391,392,389,41,41,48,43,-2,5000,1041,98,31,1,0,0,4,0,517,648,14847
391,391,389,40,41,48,43,-2,5000,1041,98,31,5,0,0,4,0,480,661,14847
391,392,389,40,40,48,43,-2,5000,1038,98,31,8,0,0,4,0,492,649,14847
391,392,389,40,41,48,43,-2,5000,1038,98,31,11,0,0,5,0,505,651,14847
391,392,389,41,42,49,43,-2,5000,1040,98,31,12,0,0,5,0,492,656,14847
391,392,389,41,41,48,43,-1,5000,1040,102,30,12,0,0,5,0,505,650,14847
391,392,389,41,41,49,43,-1,5000,1038,102,30,10,0,0,5,0,505,641,14847
391,392,389,41,41,49,43,-1,5000,1038,100,30,7,0,0,5,0,505,647,14847
391,391,389,42,42,49,43,-1,5000,1041,100,30,3,0,0,5,0,517,662,14847
391,392,389,42,43,49,43,-1,5000,1042,100,30,359,0,0,5,0,517,655,14847
391,391,389,42,42,49,45,-1,5000,1039,100,30,355,0,0,5,0,517,629,14847
391,392,389,41,42,48,45,-1,5000,1039,100,30,351,-1,0,5,0,492,640,14847
391,391,389,41,41,49,45,-1,5000,1042,99,30,348,-1,0,5,0,505,680,14847
391,391,389,41,42,49,45,-1,5000,1038,99,30,347,-1,0,5,0,517,645,14847
391,391,389,42,42,49,45,-1,5000,1038,99,30,347,-1,0,5,0,517,647,14847
